Adam Mathew Publications (CRKN),ADAM_MATTHEW_DIGITAL_CHINA,China: Trade, Politics and Culture, 1793-1980 ",Adam Matthew Digital [CRKN],<iframe src="http://tal.scholarsportal.info/alberta/sfx/?tag=Adam_Matthew_Digital" width="100%" height="40" align="middle" frameborder="0" scrolling="no"><p>Your browser does not support iframes.</p></iframe>

Adam Mathew Publications (CRKN),ADAM_MATTHEW_DIGITAL_DEFINING_GENDER,Defining Gender, 1450-1910 ",Adam Matthew Digital [CRKN],<iframe src="http://tal.scholarsportal.info/alberta/sfx/?tag=Adam_Matthew_Digital" width="100%" height="40" align="middle" frameborder="0" scrolling="no"><p>Your browser does not support iframes.</p></iframe>

Adam Mathew Publications (CRKN),ADAM_MATTHEW_DIGITAL_EIGHTEENTH_CENTURY_JOURNALS_1,Digital Eighteenth Century Journals 1 ,Adam Matthew Digital [CRKN],<iframe src="http://tal.scholarsportal.info/alberta/sfx/?tag=Adam_Matthew_Digital" width="100%" height="40" align="middle" frameborder="0" scrolling="no"><p>Your browser does not support iframes.</p></iframe>

Adam Mathew Publications (CRKN),ADAM_MATTHEW_DIGITAL_EIGHTEENTH_CENTURY_JOURNALS_2,Digital Eighteenth Century Journals 2 ,Adam Matthew Digital [CRKN],<iframe src="http://tal.scholarsportal.info/alberta/sfx/?tag=Adam_Matthew_Digital" width="100%" height="40" align="middle" frameborder="0" scrolling="no"><p>Your browser does not support iframes.</p></iframe>

Adam Mathew Publications (CRKN),ADAM_MATTHEW_DIGITAL_EMPIRE_ONLINE,Empire Online ,Adam Matthew Digital [CRKN],<iframe src="http://tal.scholarsportal.info/alberta/sfx/?tag=Adam_Matthew_Digital" width="100%" height="40" align="middle" frameborder="0" scrolling="no"><p>Your browser does not support iframes.</p></iframe>

