coralName,SFXTarget,SFXPublicName,OURTitle,OURLink
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MATH,"Elsevier SD Backfile Mathematics","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MATHEMATICS_SUPPLEMENT,"Elsevier SD Backfile Mathematics Supplement","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_ALLERGOLOGY_RH_I,"Elsevier SD Backfile Allergology, Rheumatology and Immunology","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_ANESTHESIOLOGY,"Elsevier SD Backfile Anesthesiology, Pain Medicine, Emergency Medicine, Critical Care and Intensive Medicine","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_DENTISTRY_SUPPLEMENT1,"Elsevier SD Backfile Medicine and Dentistry Supplement 1","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_DENTISTRY_SUPPLEMENT2,"Elsevier SD Backfile Medicine and Dentistry Supplement2","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_FORENSIC_MEDICIN,"Elsevier SD Backfile Forensic Medicine, Pathology and Medical Technology","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_GASTROENTEROLOGY,"Elsevier SD Backfile Gastroenterology, Endocrinology, Diabetes and Metabolism","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_GENERAL_MEDICINE,"Elsevier SD Backfile General Medicine","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_HEMATOLOGY,"Elsevier SD Backfile Hematology, Cardiology and Cardiovascular Medicine","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_OBSTETRICS,"Elsevier SD Backfile Obstetrics, Gynecology and Women's Health","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_ONCOLOGY,"Elsevier SD Backfile Oncology","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_ORTHOPEDICS,"Elsevier SD Backfile Orthopedics, Sports Medicine and Rehabilitation","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_PERINATOLOGY_PED,"Elsevier SD Backfile Perinatology, Pediatrics and Child Health","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_PSYCHIATRY,"Elsevier SD Backfile Psychiatry and Mental Health","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_PUBLIC_HEALTH,"Elsevier SD Backfile Public Health and Health Policy","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_RADIOLOGY,"Elsevier SD Backfile Radiology and Imaging","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_RESPIRATORY,"Elsevier SD Backfile Respiratory, Pulmonary and Infectious Diseases","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_MD_SURGERY,"Elsevier SD Backfile Surgery","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_NEURO,"Elsevier SD Backfile Neuroscience","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_NEUROSCIENCE_SUPPLEMENT,"Elsevier SD Backfile Neuroscience Supplement","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_NURSING_AND_HEALTH,"Elsevier SD Backfile Nursing and Health Professions","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_ORGANIC_CHEMISTRY,"Elsevier SD Backfile Organic Chemistry","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_ORGANIC_CHEMISTRY_SUPPLEMENT,"Elsevier SD Backfile Organic Chemistry Supplement","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_PHARMACOLOGY,"Elsevier SD Backfile Pharmacology","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_PHARMACOLOGY_SUPPLEMENT,"Elsevier SD Backfile Pharmacology Supplement","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_PHYS_ANALYT_CHEM,"Elsevier SD Backfile Physical and Analytical Chemistry","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_PHYS_ANALYT_CHEM_SUPPLEMENT,"Elsevier SD Backfile Physical and Analytical Chemistry Supplement","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_PHYSICS,"Elsevier SD Backfile Physics","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_PHYSICS_SUPPLEMENT,"Elsevier SD Backfile Physics Supplement","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_PSYCH,"Elsevier SD Backfile Psychology","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_PSYCHOLOGY_SUPPLEMENT,"Elsevier SD Backfile Psychology Supplement","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_SOCIAL_SCI,"Elsevier SD Backfile Social Sciences","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_SOCIAL_SCIENCE_SUPPLEMENT,"Elsevier SD Backfile Social Science Supplement","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_BACKFILE_VETERINARY,"Elsevier SD Backfile Veterinary","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_FREE_ACCESS_JOURNALS,"Elsevier ScienceDirect Free Access Journals","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_REFERENCE_WORKS,"Elsevier SD Reference Works","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Backfiles, etc. (Feb 27, 2004)",ELSEVIER_SD_SAS,"Elsevier SD Masson SAS","Science Direct","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Direct_Backfiles"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Ebooks / Handbooks (March 14, 2006)",ELSEVIER_SD_ELSEVIER_CURRENT_TRENDS,"Elsevier SD Elsevier Current Trends","Elsevier Science Direct Ebooks","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Elsevier_Science_Direct_Ebooks"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Ebooks (March 29, 2009)",ELSEVIER_MOSBY_NURSING_CONSULT_EBOOKS,"Elsevier Mosby's Nursing Consult Ebooks","Elsevier Science Direct Ebooks","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Elsevier_Science_Direct_Ebooks"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Elsevier Science Direct Ebooks (March 29, 2009)",ELSEVIER_SD_BOOKS,"Elsevier ScienceDirect Books","Elsevier Science Direct Ebooks","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Elsevier_Science_Direct_Ebooks"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Emerald Press (Coppul)",EMERALD_BOOKS_BUSINESS_MANAGEMENT_AND_ECONOMICS,"Emerald Books Business, Management and Economics","Emerald Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Emerald_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Emerald Press (Coppul)",EMERALD_BOOKS_SOCIAL_SCIENCES,"Emerald Books Social Sciences","Emerald Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Emerald_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Emerald Press (Coppul)",EMERALD_BUSINESS_MANAGEMENT_AND_ECONOMICS_EBOOK_SERIES_COLLECTION,"Emerald Business, Management and Economics eBook Series Collection","Emerald Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Emerald_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Emerald Press (Coppul)",EMERALD_EJOURNALS_PREMIER,"Emerald eJournals Premier","Emerald Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Emerald_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Emerald Press (Coppul)",EMERALD_SOCIAL_SCIENCE_EBOOK_SERIES_COLLECTION,"Emerald Social Science eBook Series Collection","Emerald Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Emerald_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Encyclopedia Britannica (TAL)",,,,
"Erudit Open Access Journals",ERUDIT_OPEN_ACCESS_JOURNALS_FREE,"Erudit Open Access Journals",Erudit,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Erudit"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Financial Times Education Services",,,,
"Future Medicine",FUTURE_MEDICINE,"Future Medicine","Future Medicine","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Future_Medicine"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale (CRKN)",GALEGROUP_DB_TIMES_DIGITAL_ARCHIVE,"Gale Cengage The Times Digital Archive","Times Digital Archive [CRKN]","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Times_Digital_Archive"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale (CRKN)",GALEGROUP_EIGHTEENTH_CENTURY_COLLECTIONS_ONLINE_I,"Gale Eighteenth Century Collections Online I","Eighteenth Century Collections Online [CRKN]","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Eighteenth_Century_Collections_Online"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale (CRKN)",GALEGROUP_EIGHTEENTH_CENTURY_COLLECTIONS_ONLINE_II,"Gale Eighteenth Century Collections Online II","Eighteenth Century Collections Online [CRKN]","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Eighteenth_Century_Collections_Online"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Purchase Agreement",,,,
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_DB_VIRTUAL_REFERENCE_LIBRARY,"Gale Cengage Virtual Reference Library",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_DICTIONARY_OF_LITERARY_BIOGRAPHY,"Gale Dictionary of literary biography",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_ECONOMIST_HISTORICAL_ARCHIVE,"Gale Cengage Economist Historical Archive",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_FINANCIAL_TIMES_HISTORICAL_ARCHIVE,"Gale Cengage Financial Times Historical Archive",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_GREENR,"Gale Cengage GreenR",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_IT_LEGALTRAC,"Gale Cengage LegalTrac",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_MAKING_OF_MODERN_LAW_LEGAL_TREATISES_1800-1926,"Gale Making of Modern Law: Legal Treatises, 1800-1926",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_MAKING_OF_THE_MODERN_WORLD_PART_I,"Gale Making of the Modern World Part 1",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_MAKING_OF_THE_MODERN_WORLD_PART_II,"Gale Making of the Modern World Part 2",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_NINETEENTH_CENTURY_BRITISH_LIBRARY_NEWSPAPERS,"Gale Cengage 19th Century British Library Newspapers",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_NINETEENTH_CENTURY_BRITISH_LIBRARY_NEWSPAPERS_II,"Gale Cengage 19th Century British Library Newspapers II",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_NINETEENTH_CENTURY_US_NEWSPAPERS,"Gale Cengage 19th Century US Newspapers",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_RDS_CONTEMPORARY_WOMENS_ISSUES,"Gale Cengage Contemporary Women's Issues",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_SABIN_AMERICA_1500_1926,"Gale Cengage Sabin Americana 1500-1926",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_TIMES_LITERARY_SUPPLEMENT_HISTORICAL_ARCHIVE,"Galegroup Times Literary Supplement Historical Archive",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Gale Subscription & LicenseAgreement (UofA )",GALEGROUP_SEVENTEENTH_AND_EIGHTEENTH_CENTURY_BURNEY_COLLECTION_NEWSPAPERS,"Gale Cengage 17th and 18th Century Burney Collection Newspapers",Gale,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Gale"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Generic (ILL permitted)",ACSESS_DIGITAL_LIBRARY,"ACSESS Digital Library",Default,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Default"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Generic (ILL permitted)",AFRICAN_JOURNAL_ARCHIVE_FREE,"African Journal Archive",Default,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Default"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Generic (ILL permitted)",AGRIKNOWLEDGE_FREE,AgriKnowledge,Default,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Default"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Generic (ILL permitted)",AGZINES_FREE,AgZines,Default,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Default"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Generic (ILL permitted)",AKADEMIAI_KIADO,"Akademiai Kiado",Default,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Default"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Generic (ILL permitted)",ALLEN_PRESS_MISCELLANEOUS,"Allen Press Miscellaneous",Default,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Default"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
