coralName,SFXTarget,SFXPublicName,OURTitle,OURLink
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_ETHNOGRAPHIC_VIDEO_ONLINE,"Alexander Street Press Ethnographic Video Online","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_FILMAKERS_LIBRARY_ONLINE_NORTH_AMERICA,"Alexander Street Press Filmakers Library Online (North America)","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_GARLAND_ENCYCLOPEDIA_OF_WORLD_MUSIC_ONLINE,"Alexander Street Press Garland Encyclopedia of World Music Online","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_HARPERS_WEEKLY,"Alexander Street Press Harper's Weekly","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_IRISH_WOMEN_POETS_ROMANTIC_PERIOD,"Alexander Street Press Irish Women Poets of the Romantic Period","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_LATIN_AMERICAN_WOMEN_WRITERS,"Alexander Street Press Latin American Women Writers","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_NORTH_AMERICAN_IMMIGRANT_LETTERS_DIARIES_ORAL_HISTORIES,"Alexander Street Press North American Immigrant Letters, Diaries, and Oral Histories","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_NORTH_AMERICAN_INDIAN_DRAMA,"Alexander Street Press North American Indian Drama","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_NORTH_AMERICAN_THEATRE_ONLINE,"Alexander Street Press North American Theatre Online","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_NURSING_EDUCATION_IN_VIDEO,"Alexander Street Press Nursing Education in Video","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_OPERA_IN_VIDEO,"Alexander Street Press Opera in Video","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_SCOTTISH_WOMEN_POETS_ROMANTIC_ERA,"Alexander Street Press Scottish Women Poets of the Romantic Era","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_SOCIAL_THEORY,"Alexander Street Press Social Theory","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_TWENTIETH_CENTURY_ADVICE_LITERATURE,"Alexander Street Press 20th Century Advice Literature","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_WOMEN_AND_SOCIAL_MOVEMENTS_IN_THE_UNITED_STATES_SCHOLARS_,"Alexander Street Press Women and Social Movements in the United States Scholar's Edition","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Alexander Street Press (UofA)",ALEXANDER_STREET_PRESS_WORLD_HISTORY_IN_VIDEO_NORTH_AMERICA,"Alexander Street Press World History in Video (North America)","Alexander Street Press","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Alexander_Street_Press"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"AmericaAmerican College of Physicians (ACP) - Annals of Internal Medicine",,,,
"American Assoc. for the Advancement of Science",HIGHWIRE_PRESS_AMERICAN_ASSOCIATION_FOR_THE_ADVANCEMENT_OF_SCIENCE,"Highwire Press American Association for the Advancement of Science","Science Online","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Science_Online"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"American Bar Association - ABA Law Library Collection (Print journals)",,,,
"American Chemical Society - ACS Symposium Series Online",,,,
"American College of Physicians (ACP) - Annals of Internal Medicine Backfile",,,,
"American Institute of Aeronautics and Astronautics",AIAA_AEROSPACE_RESEARCH_CENTRAL_JOURNALS,"AIAA Aerospace Research Central Journals","American Institute of Aeronautics and Astronautics","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=American_Institute_of_Aeronautics_and_Astronautics"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"American Institute of Mathematical Sciences",AMERICAN_INSTITUTE_OF_MATHEMATICAL_SCIEN,"American Institute of Mathematical Sciences (AIMS)","American Institute of Mathematical Sciences","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=American_Institute_of_Mathematical_Sciences"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"American Library Association - Choice",,,,
"American Mathematical Society E-books",,,,
